model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet101,layer4,2388890.570868579,2388891.121568112,2388890.789758924,2388890.891769465,2388890.891769747,2388890.891770879,2388890.970679652,2388891.005579835,,,2388891.100139279,2388891.121509077,
resnet101,avgpool,2388890.570871428,2388891.121898823,2388890.892051086,2388890.892080656,2388890.892080843,2388890.892081002,2388891.014527925,2388891.015022675,,,2388891.121534109,2388891.121840057,
resnet101,fc,2388890.570874153,2388891.122427636,2388890.892220468,2388890.905653189,2388890.905653378,2388890.905653593,2388891.01505445,2388891.022251567,,,2388891.121851693,2388891.12239365,
resnet101,conv1,2388891.517997069,2388891.530552601,2388891.51825786,2388891.518525738,2388891.518525967,2388891.518526254,2388891.518595855,2388891.519626778,,,2388891.519646599,2388891.530264098,
resnet101,bn1,2388891.518011971,2388891.532602445,2388891.518642373,2388891.518952378,2388891.518952621,2388891.518952832,2388891.519762599,2388891.521170462,,,2388891.530313275,2388891.532375361,
resnet101,relu,2388891.518015472,2388891.535347838,2388891.519297433,2388891.519315087,2388891.519315272,2388891.519315458,2388891.521320754,2388891.52151574,,,2388891.532395396,2388891.535107526,
resnet101,maxpool,2388891.518018378,2388891.536909803,2388891.519425491,2388891.519455186,2388891.519455366,2388891.519455495,2388891.521525113,2388891.521909259,,,2388891.535124757,2388891.536494685,
resnet101,layer1,2388891.518021176,2388891.559251418,2388891.519555373,2388891.530029362,2388891.530029717,2388891.530029946,2388891.530385064,2388891.540971827,,,2388891.541009739,2388891.5589405,
resnet101,layer2,2388891.518023807,2388891.581762497,2388891.530446816,2388891.549055586,2388891.549055969,2388891.54905617,2388891.549167408,2388891.562220862,,,2388891.562262675,2388891.581718683,
resnet101,layer3,2388891.518026389,2388892.033371975,2388891.549250617,2388891.732079305,2388891.732079674,2388891.732079866,2388891.732206688,2388891.908712476,,,2388891.908869454,2388892.033264578,
resnet101,layer4,2388891.518029039,2388892.054347856,2388891.732295632,2388891.831150955,2388891.831151324,2388891.831151531,2388891.909823797,2388891.943302614,,,2388892.033304441,2388892.054297701,
resnet101,avgpool,2388891.518031719,2388892.054648725,2388891.831272137,2388891.831291225,2388891.83129156,2388891.831292113,2388891.949631418,2388891.949981041,,,2388892.054315728,2388892.05461837,
resnet101,fc,2388891.518034697,2388892.055151394,2388891.831481844,2388891.844861139,2388891.844861384,2388891.844861576,2388891.949996471,2388891.954226306,,,2388892.054629628,2388892.055132757,
resnet101,conv1,2388892.442758837,2388892.455655146,2388892.442969598,2388892.443288005,2388892.443288348,2388892.443288611,2388892.44336098,2388892.444464599,,,2388892.444495353,2388892.455537399,
resnet101,bn1,2388892.442769667,2388892.457778883,2388892.443405052,2388892.443992787,2388892.443993371,2388892.443993559,2388892.444687309,2388892.445834153,,,2388892.455577579,2388892.457693934,
resnet101,relu,2388892.44277304,2388892.459966209,2388892.444203334,2388892.444228637,2388892.444228856,2388892.444229063,2388892.446002126,2388892.44647642,,,2388892.457706416,2388892.459881211,
resnet101,maxpool,2388892.442776069,2388892.461788877,2388892.444393529,2388892.444427657,2388892.444427829,2388892.444428023,2388892.446486569,2388892.446639525,,,2388892.459892886,2388892.461769641,
resnet101,layer1,2388892.442778921,2388892.490039449,2388892.444789567,2388892.450032261,2388892.450032533,2388892.450032752,2388892.45373442,2388892.469102372,,,2388892.469148926,2388892.489993501,
resnet101,layer2,2388892.442781596,2388892.509563679,2388892.450103738,2388892.468519701,2388892.468519982,2388892.468520187,2388892.469328641,2388892.486796863,,,2388892.49001174,2388892.509523943,
resnet101,layer3,2388892.442784122,2388892.908998922,2388892.468783845,2388892.658378346,2388892.658378638,2388892.658378837,2388892.658503416,2388892.781146432,,,2388892.78123467,2388892.908897095,
resnet101,layer4,2388892.44278661,2388892.92904812,2388892.658545985,2388892.763915908,2388892.763916181,2388892.763916441,2388892.781897707,2388892.812473976,,,2388892.908935778,2388892.928953342,
resnet101,avgpool,2388892.442789854,2388892.929354614,2388892.764090201,2388892.764111698,2388892.764111891,2388892.764112117,2388892.812585435,2388892.813082297,,,2388892.928979067,2388892.929328778,
resnet101,fc,2388892.442792317,2388892.929888898,2388892.764367164,2388892.778718745,2388892.778719674,2388892.778719972,2388892.813096211,2388892.816667016,,,2388892.929338064,2388892.929871317,
resnet152,conv1,2388893.347081869,2388893.354820581,2388893.347296724,2388893.347656141,2388893.347656435,2388893.347656835,2388893.3477384,2388893.349101053,,,2388893.349124246,2388893.354542401,
resnet152,bn1,2388893.347098164,2388893.36217729,2388893.347813874,2388893.348154223,2388893.348154494,2388893.348154698,2388893.349297424,2388893.350717666,,,2388893.354588452,2388893.361371932,
resnet152,relu,2388893.34710156,2388893.36396195,2388893.348363456,2388893.348385258,2388893.348385506,2388893.348385659,2388893.350903122,2388893.351065453,,,2388893.361400629,2388893.363601241,
resnet152,maxpool,2388893.347105094,2388893.36644959,2388893.348709738,2388893.348740034,2388893.34874021,2388893.348740358,2388893.351074128,2388893.351202308,,,2388893.363619484,2388893.365919612,
resnet152,layer1,2388893.347107807,2388893.388048391,2388893.348893954,2388893.355859975,2388893.355860238,2388893.355860449,2388893.35941374,2388893.3703728,,,2388893.370407121,2388893.388016717,
resnet152,layer2,2388893.347110668,2388893.456531468,2388893.35928411,2388893.389188911,2388893.389189387,2388893.389189622,2388893.389276667,2388893.417497019,,,2388893.417596851,2388893.456479921,
resnet152,layer3,2388893.34711327,2388894.150992467,2388893.389330156,2388893.677097227,2388893.677097831,2388893.677098026,2388893.677240807,2388893.952378584,,,2388893.952452023,2388894.150859437,
resnet152,layer4,2388893.347115849,2388894.172653006,2388893.677325335,2388893.776237733,2388893.776238302,2388893.776238649,2388893.953587333,2388893.986608369,,,2388894.150909948,2388894.172547313,
resnet152,avgpool,2388893.347118852,2388894.173120763,2388893.776436338,2388893.776454151,2388893.776454451,2388893.776454578,2388893.992611905,2388893.993097265,,,2388894.172588515,2388894.173053133,
resnet152,fc,2388893.347121408,2388894.173752887,2388893.77654437,2388893.789637558,2388893.789637821,2388893.789638069,2388893.993113166,2388893.996630506,,,2388894.173078956,2388894.173710963,
resnet101,conv1,2388894.874986486,2388894.887265924,2388894.875197431,2388894.875498719,2388894.875499014,2388894.875499474,2388894.875623894,2388894.876554126,,,2388894.87657338,2388894.887185992,
resnet101,bn1,2388894.874998934,2388894.893360963,2388894.875573702,2388894.875891894,2388894.875892181,2388894.875892351,2388894.876674499,2388894.877803274,,,2388894.887212416,2388894.893161429,
resnet101,relu,2388894.875002289,2388894.894853046,2388894.876291926,2388894.876312136,2388894.876312327,2388894.876312482,2388894.877961071,2388894.878200415,,,2388894.89320197,2388894.89475959,
resnet101,maxpool,2388894.875005377,2388894.896380445,2388894.876421538,2388894.87645035,2388894.876450548,2388894.876450728,2388894.878210511,2388894.878566905,,,2388894.894776214,2388894.896350981,
resnet101,layer1,2388894.875008177,2388894.916674008,2388894.876703686,2388894.888139089,2388894.888139452,2388894.888139774,2388894.888213872,2388894.897369901,,,2388894.897401544,2388894.916575492,
resnet101,layer2,2388894.875011079,2388894.942038846,2388894.888247855,2388894.905696969,2388894.905698003,2388894.905699201,2388894.90585035,2388894.920901059,,,2388894.920940338,2388894.941995239,
resnet101,layer3,2388894.875013826,2388895.347789038,2388894.905894392,2388895.094502072,2388895.094502379,2388895.094502578,2388895.094632013,2388895.209813438,,,2388895.209881964,2388895.347667431,
resnet101,layer4,2388894.875016505,2388895.372903332,2388895.09467817,2388895.194087432,2388895.194089421,2388895.194090897,2388895.210536281,2388895.24737878,,,2388895.347708631,2388895.372808191,
resnet101,avgpool,2388894.875019454,2388895.373368895,2388895.194326029,2388895.194342416,2388895.194342544,2388895.194342755,2388895.247517963,2388895.247827484,,,2388895.372851366,2388895.373320478,
resnet101,fc,2388894.875022715,2388895.374036481,2388895.194432004,2388895.20815662,2388895.208156807,2388895.208156987,2388895.247839143,2388895.251538542,,,2388895.373333592,2388895.374006332,
resnet152,conv1,2388895.820610007,2388895.838257415,2388895.820868223,2388895.821125014,2388895.82112521,2388895.821125418,2388895.821202221,2388895.822796778,,,2388895.822914697,2388895.837998976,
resnet152,bn1,2388895.820621044,2388895.840623957,2388895.821283445,2388895.821520393,2388895.8215206,2388895.821520729,2388895.82301032,2388895.824724516,,,2388895.838017779,2388895.840189713,
resnet152,relu,2388895.820624193,2388895.841620917,2388895.821685638,2388895.821709646,2388895.821709774,2388895.821709902,2388895.824751877,2388895.82522039,,,2388895.840230554,2388895.841568093,
resnet152,maxpool,2388895.820626838,2388895.843467993,2388895.821767883,2388895.821788805,2388895.821788952,2388895.821789059,2388895.825233799,2388895.825786799,,,2388895.841584117,2388895.843312519,
resnet152,layer1,2388895.820629508,2388895.871326091,2388895.821832551,2388895.827490074,2388895.827490444,2388895.827490704,2388895.828394446,2388895.852265749,,,2388895.852455175,2388895.871298493,
resnet152,layer2,2388895.820631777,2388895.953244622,2388895.827583976,2388895.871072995,2388895.871073423,2388895.871073687,2388895.871239024,2388895.906312057,,,2388895.906349233,2388895.953203643,
resnet152,layer3,2388895.820634383,2388896.612520756,2388895.871393322,2388896.168896122,2388896.168896453,2388896.168896661,2388896.169015901,2388896.418345578,,,2388896.418406848,2388896.612409444,
resnet152,layer4,2388895.820637331,2388896.634044828,2388896.1691093,2388896.267900484,2388896.26790081,2388896.267901035,2388896.419199819,2388896.447906802,,,2388896.612447466,2388896.633963543,
resnet152,avgpool,2388895.820640277,2388896.634450042,2388896.268694643,2388896.268717783,2388896.268717953,2388896.268718526,2388896.455036492,2388896.455381711,,,2388896.63398961,2388896.634388806,
resnet152,fc,2388895.820642894,2388896.635049579,2388896.26876855,2388896.28202798,2388896.282028171,2388896.282028358,2388896.455394961,2388896.458356911,,,2388896.634410723,2388896.635020261,
resnet101,conv1,2388897.407445217,2388897.432052164,2388897.407843535,2388897.408502174,2388897.408502445,2388897.408502813,2388897.408592498,2388897.410009549,,,2388897.410033159,2388897.41590123,
resnet101,bn1,2388897.407459574,2388897.434286638,2388897.408651171,2388897.40903935,2388897.409039578,2388897.409039843,2388897.41011642,2388897.411926368,,,2388897.425142329,2388897.434146142,
resnet101,relu,2388897.407462589,2388897.435745118,2388897.409558392,2388897.409587221,2388897.409587474,2388897.409587759,2388897.41195834,2388897.412364792,,,2388897.43416159,2388897.435715689,
resnet101,maxpool,2388897.407465175,2388897.438594575,2388897.409733496,2388897.409778677,2388897.409778843,2388897.409779063,2388897.412374364,2388897.412647658,,,2388897.435725612,2388897.438557641,
resnet101,layer1,2388897.407467569,2388897.474380717,2388897.409915594,2388897.432462899,2388897.432463582,2388897.43246385,2388897.432564933,2388897.453304317,,,2388897.453356546,2388897.474257423,
resnet101,layer2,2388897.407469783,2388897.495207488,2388897.43267536,2388897.450831303,2388897.450831627,2388897.450831815,2388897.453590168,2388897.472034017,,,2388897.474276749,2388897.495120991,
resnet101,layer3,2388897.407471782,2388897.964142679,2388897.450890673,2388897.638598111,2388897.638598695,2388897.638598896,2388897.638716168,2388897.829888555,,,2388897.829947091,2388897.96404708,
resnet101,layer4,2388897.407473738,2388897.984252971,2388897.638891075,2388897.736630861,2388897.736631209,2388897.736631442,2388897.830862897,2388897.86532098,,,2388897.96408119,2388897.98417906,
resnet101,avgpool,2388897.407476424,2388897.98459379,2388897.736735212,2388897.736756833,2388897.736756988,2388897.73675711,2388897.865431666,2388897.866057571,,,2388897.984196071,2388897.98456542,
resnet101,fc,2388897.407478612,2388897.985101175,2388897.736811444,2388897.749828445,2388897.74982861,2388897.749828771,2388897.866072714,2388897.869960339,,,2388897.984575345,2388897.985082317,
