model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,conv1,2390368.713173699,2390368.725013791,2390368.713497786,2390368.71408295,2390368.714083499,2390368.714442764,2390368.715059327,2390368.715867566,,,2390368.715885816,2390368.724802427,
resnet50,bn1,2390368.71318511,2390368.741657569,2390368.714701897,2390368.715119833,2390368.715120173,2390368.715140464,2390368.716052166,2390368.716138916,2390368.713979817,2390368.715042816,2390368.724851376,2390368.74104045,
resnet50,relu,2390368.713187951,2390368.743529593,2390368.715248061,2390368.715270386,2390368.715270671,2390368.715275678,2390368.716300937,2390368.717045868,,,2390368.741060538,2390368.742770537,
resnet50,maxpool,2390368.713191007,2390368.746494248,2390368.715356786,2390368.715387998,2390368.715388252,2390368.71539151,2390368.717062225,2390368.717391567,,,2390368.742784104,2390368.74585988,
resnet50,layer1,2390368.713193434,2390368.771225206,2390368.715643606,2390368.743717075,2390368.743717584,2390368.748896488,2390368.749087209,2390368.75240736,2390368.718490405,2390368.747745867,2390368.75244766,2390368.771180663,
resnet50,layer2,2390368.713195486,2390368.805341041,2390368.749281285,2390368.769794646,2390368.769795049,2390368.781567165,2390368.781709109,2390368.784144169,2390368.754077285,2390368.768886536,2390368.784246267,2390368.805286622,
resnet50,layer3,2390368.713197718,2390368.935264983,2390368.781864049,2390368.847767523,2390368.847768042,2390368.891842963,2390368.891994239,2390368.89936159,2390368.785519444,2390368.815190152,2390368.899431694,2390368.935194402,
resnet50,layer4,2390368.713200004,2390369.111806002,2390368.892416058,2390368.992477592,2390368.992477955,2390369.080045414,2390369.080203693,2390369.087730918,2390368.901014434,2390368.958798523,2390369.087809586,2390369.111713986,
resnet50,avgpool,2390368.713202519,2390369.11210601,2390369.080508856,2390369.080549977,2390369.080550312,2390369.080556477,2390369.09614213,2390369.096781412,,,2390369.111751788,2390369.112066112,
resnet50,fc,2390368.71320459,2390369.11399506,2390369.081173691,2390369.101088568,2390369.101088734,2390369.112769567,2390369.112836848,2390369.113345985,2390369.097916463,2390369.11119643,2390369.113377062,2390369.113954728,
resnet50,conv1,2390369.247039218,2390369.258588845,2390369.247229636,2390369.247523671,2390369.247523909,2390369.247626274,2390369.247686018,2390369.24877797,,,2390369.248798775,2390369.258483414,
resnet50,bn1,2390369.247051441,2390369.263194556,2390369.247731486,2390369.248059512,2390369.248059726,2390369.248080836,2390369.24903779,2390369.249993919,,,2390369.258500492,2390369.262666205,
resnet50,relu,2390369.247054878,2390369.264596808,2390369.248353339,2390369.248376904,2390369.248377097,2390369.24838078,2390369.250152745,2390369.250504665,,,2390369.262694375,2390369.264377392,
resnet50,maxpool,2390369.247057897,2390369.266936905,2390369.248517793,2390369.248548638,2390369.248548849,2390369.24855188,2390369.250514425,2390369.250770754,,,2390369.264393165,2390369.266428689,
resnet50,layer1,2390369.247060597,2390369.293598011,2390369.248700377,2390369.262176848,2390369.262177473,2390369.266022835,2390369.269252106,2390369.272638309,2390369.252084185,2390369.26923159,2390369.272692871,2390369.293565536,
resnet50,layer2,2390369.247063349,2390369.321700744,2390369.266270362,2390369.284898622,2390369.284899274,2390369.295006037,2390369.295084522,2390369.297846978,2390369.274202732,2390369.287832662,2390369.297891805,2390369.321661545,
resnet50,layer3,2390369.247065835,2390369.443006937,2390369.295264791,2390369.353595556,2390369.353595803,2390369.397260524,2390369.397386033,2390369.404272705,2390369.29913935,2390369.332197779,2390369.40434101,2390369.442945874,
resnet50,layer4,2390369.247068268,2390369.627994497,2390369.397727864,2390369.505397252,2390369.505397628,2390369.594410366,2390369.594547157,2390369.602798264,2390369.405841002,2390369.466044938,2390369.602866614,2390369.627892616,
resnet50,avgpool,2390369.247070745,2390369.628474381,2390369.594857796,2390369.594891747,2390369.594891933,2390369.594898179,2390369.603211896,2390369.603916827,,,2390369.627930609,2390369.628437167,
resnet50,fc,2390369.247073473,2390369.633649,2390369.599734875,2390369.617777194,2390369.617777592,2390369.632128507,2390369.632240174,2390369.632746242,2390369.605048941,2390369.60922582,2390369.632806315,2390369.633617071,
resnet152,conv1,2390369.824077946,2390369.838169314,2390369.824374457,2390369.824886356,2390369.824886898,2390369.82513686,2390369.826306261,2390369.827589833,,,2390369.82761408,2390369.837696792,
resnet152,bn1,2390369.82408889,2390369.840311065,2390369.825594424,2390369.826446413,2390369.826446635,2390369.826467873,2390369.827975259,2390369.828141339,2390369.824936487,2390369.826288684,2390369.837718325,2390369.840199874,
resnet152,relu,2390369.824091429,2390369.842284417,2390369.826532589,2390369.826553927,2390369.826554129,2390369.8265581,2390369.82816603,2390369.828414152,,,2390369.840221216,2390369.841983277,
resnet152,maxpool,2390369.824093577,2390369.845352685,2390369.826639381,2390369.82667321,2390369.826673378,2390369.826676474,2390369.828426203,2390369.828901932,,,2390369.841995884,2390369.845111819,
resnet152,layer1,2390369.824095821,2390369.875803429,2390369.826765508,2390369.834074159,2390369.834074516,2390369.838556663,2390369.844721,2390369.848608319,2390369.830043563,2390369.844707166,2390369.848673019,2390369.875771096,
